,Close,Clusters
0,308.75,-69
1,309.94000244140625,1
2,311.0400085449219,2
3,310.3399963378906,-1
4,309.0400085449219,-2
5,309.8299865722656,1
6,309.7699890136719,1
7,310.5846862792969,1
8,310.70001220703125,1
9,311.1000061035156,1
10,310.44000244140625,-1
11,310.3800048828125,0
12,310.8399963378906,0
13,310.6099853515625,0
14,310.625,0
15,309.4989929199219,-2
16,310.07501220703125,1
17,310.67999267578125,1
18,311.4100036621094,1
19,310.9800109863281,-1
20,311.840087890625,1
21,311.80499267578125,1
22,312.2799987792969,1
23,312.69000244140625,1
24,312.6199951171875,0
25,312.3299865722656,0
26,307.9007873535156,-7
27,307.489990234375,-1
28,308.5050048828125,2
29,308.92999267578125,1
30,308.3999938964844,-1
31,309.7250061035156,2
32,309.9800109863281,0
33,309.9800109863281,0
34,309.7699890136719,0
35,309.54998779296875,0
36,309.1600036621094,0
37,309.6470947265625,0
38,309.989990234375,0
39,309.67010498046875,0
40,308.9978942871094,-1
41,309.510009765625,1
42,309.6099853515625,0
43,309.69000244140625,0
44,309.9800109863281,0
45,309.99591064453125,0
46,311.0,2
47,310.510009765625,-1
48,310.4700012207031,0
49,310.44000244140625,0
50,309.92999267578125,0
51,310.0899963378906,0
52,308.94500732421875,-2
53,308.2099914550781,-1
54,308.1199951171875,-1
55,307.67999267578125,-1
56,307.8800048828125,0
57,308.07000732421875,0
58,308.010009765625,0
59,307.3500061035156,-1
60,307.951904296875,1
61,308.54998779296875,1
62,307.81658935546875,-1
63,307.6199951171875,0
64,307.3131103515625,0
65,307.0368957519531,0
66,307.57000732421875,0
67,307.92999267578125,0
68,307.95001220703125,0
69,307.1600036621094,0
70,307.04998779296875,0
71,307.0,0
72,307.2001037597656,0
73,307.5885009765625,0
74,307.6000061035156,0
75,307.8900146484375,0
76,308.2799987792969,0
77,309.0199890136719,0
78,308.94940185546875,0
79,308.7900085449219,0
80,308.1600036621094,-1
81,307.67999267578125,-1
82,309.3399963378906,3
83,309.17999267578125,0
84,309.4849853515625,0
85,309.5799865722656,0
86,309.3599853515625,0
87,309.7799072265625,1
88,309.2300109863281,-1
89,309.1299133300781,0
90,308.760009765625,0
91,308.9599914550781,0
92,309.5400085449219,1
93,309.0199890136719,-1
94,308.6000061035156,-1
95,308.94000244140625,0
96,309.2449951171875,0
97,308.9599914550781,0
98,309.17498779296875,0
99,309.0249938964844,0
100,309.25,0
101,309.3900146484375,0
102,309.0299987792969,0
103,309.5,1
104,312.48309326171875,5
105,312.1499938964844,0
106,311.4649963378906,-1
107,312.260009765625,1
