,Close,Clusters
0,209.3866729736328,-69
1,219.60000610351562,1
2,235.91000366210938,2
3,253.2100067138672,2
4,252.75332641601562,0
5,246.7899932861328,0
6,258.3333435058594,1
7,234.51666259765625,-3
8,238.27999877929688,0
9,238.8866729736328,0
10,241.86666870117188,0
11,239.7066650390625,0
12,232.22999572753906,-1
13,215.73666381835938,-2
14,220.88999938964844,0
15,233.0,1
16,213.10000610351562,-2
17,216.75999450683594,0
18,237.0366668701172,0
19,236.086669921875,0
20,235.07000732421875,0
21,245.7066650390625,0
22,244.9199981689453,0
23,232.663330078125,0
24,228.49000549316406,0
25,224.47332763671875,0
26,227.26333618164062,0
27,233.06666564941406,0
28,231.73333740234375,0
29,244.5433349609375,1
30,250.76333618164062,1
31,234.3433380126953,-2
32,233.07000732421875,0
33,237.0399932861328,0
34,238.31333923339844,0
35,240.06666564941406,0
36,240.54666137695312,0
37,245.52999877929688,0
38,247.5,0
39,271.7066650390625,0
40,272.24334716796875,0
41,268.4333190917969,0
42,258.8599853515625,-1
43,274.82000732421875,2
44,280.8999938964844,1
45,297.1499938964844,2
46,297.27667236328125,0
47,300.586669921875,0
48,307.39666748046875,0
49,308.6333312988281,0
50,288.1700134277344,0
51,290.42333984375,0
52,283.3333435058594,-1
53,294.3566589355469,1
54,286.6300048828125,-1
55,300.0299987792969,1
56,309.32000732421875,1
57,306.5633239746094,0
58,303.9966735839844,0
59,302.8699951171875,0
60,296.6666564941406,-1
61,289.913330078125,-1
62,296.4533386230469,1
63,297.0966796875,0
64,296.07000732421875,0
65,288.0899963378906,-1
66,284.82000732421875,-1
67,277.70001220703125,-1
68,275.6099853515625,0
69,277.1600036621094,0
70,270.2099914550781,0
71,274.4200134277344,0
72,283.70001220703125,1
73,289.260009765625,1
74,299.67999267578125,1
75,304.4200134277344,0
76,292.1300048828125,-1
77,302.6099853515625,1
78,303.75,0
79,303.3500061035156,0
80,309.07000732421875,0
81,308.7300109863281,0
82,300.79998779296875,-1
83,288.5899963378906,-1
84,275.3299865722656,-1
85,276.010009765625,0
86,282.94000244140625,0
87,287.80999755859375,0
88,268.2099914550781,0
89,265.25,0
90,242.39999389648438,-3
91,249.44000244140625,1
92,240.80999755859375,-1
93,238.1300048828125,0
94,223.07000732421875,0
95,222.9600067138672,0
96,216.5,0
97,217.24000549316406,0
98,221.72000122070312,0
99,204.99000549316406,-2
100,219.35000610351562,2
101,220.19000244140625,0
102,222.0399932861328,0
103,207.27999877929688,-2
104,214.44000244140625,1
105,211.25,1
106,222.4199981689453,1
107,224.63999938964844,0
108,225.08999633789062,0
109,228.52000427246094,0
110,227.5399932861328,0
111,227.82000732421875,0
112,214.97999572753906,-1
113,215.30999755859375,-1
114,207.47000122070312,-1
115,197.0800018310547,-1
116,191.3000030517578,-1
117,177.58999633789062,-1
118,190.72000122070312,1
119,195.97000122070312,0
120,190.9499969482422,0
121,194.4199981689453,0
122,186.9199981689453,0
123,183.1699981689453,0
124,180.19000244140625,0
125,167.8699951171875,0
126,169.91000366210938,0
127,183.1999969482422,0
128,182.86000061035156,0
129,182.9199981689453,0
130,180.8300018310547,0
131,194.6999969482422,0
132,194.6999969482422,0
133,194.86000061035156,0
134,182.4499969482422,0
135,179.82000732421875,0
136,174.0399932861328,0
137,173.44000244140625,0
138,179.0500030517578,0
139,167.82000732421875,-1
140,160.9499969482422,-1
141,156.8000030517578,0
142,157.6699981689453,0
143,150.22999572753906,-1
144,149.8699951171875,-1
145,137.8000030517578,-1
146,137.57000732421875,-1
147,125.3499984741211,-1
148,123.1500015258789,-1
149,109.0999984741211,-1
